id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term
,,1700,1700,1700, 36 months,10.9,55.58,B,B4,Support Team Lead,3 years,RENT,47500,Source Verified,Mar-2018,Current,n,,,other,Other,661xx,KS,27.99,0,Sep-2009,0,57,,6,0,7163,65.7,31,w,1237.87,1237.87,610.35,610.35,462.13,148.22,0.0,0.0,0.0,Feb-2019,55.58,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,62639,0,4,0,2,14,55476,75,1,1,3130,74,10900,0,3,0,3,10440,870,78.3,0,0,102,75,8,8,0,8,,,,0,1,2,1,1,27,2,4,2,6,0,0,0,1,96.7,100,0,0,85025,62639,4000,74125,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,20000,20000,20000, 36 months,13.58,679.48,C,C2,teacher,3 years,RENT,40000,Not Verified,Mar-2018,Current,n,,,credit_card,Credit card refinancing,606xx,IL,38.61,0,Sep-2004,0,,,14,0,28814,86.0,19,w,14723.54,14723.54,7459.19,7459.19,5276.46,2182.73,0.0,0.0,0.0,Feb-2019,679.48,Mar-2019,Feb-2019,0,,1,Joint App,160000,33.23,Not Verified,0,0,241275,0,6,0,0,35,22121,46,0,0,10975,63,33500,0,0,0,1,17234,884,96.9,0,0,162,117,27,19,1,27,,21,,0,5,6,5,5,11,7,7,6,14,0,0,0,0,100,80,0,0,277629,50935,28700,47851,89376,Jan-2001,0,1,24,87.2,7,20,0,0,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,2500,2500,2500, 36 months,6.71,76.87,A,A3,Marketing Coordinator,< 1 year,RENT,60000,Not Verified,Mar-2018,Current,n,,,credit_card,Credit card refinancing,190xx,PA,5.36,0,Oct-2007,2,,,17,0,1872,9.5,26,w,1710.02,1710.02,919.64,919.64,789.98,129.66,0.0,0.0,0.0,Feb-2019,76.87,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,46555,1,12,0,0,46,44683,88,3,4,1872,66,19800,0,1,2,4,2739,13428,12.2,0,0,125,91,3,3,0,16,,1,,0,1,1,2,2,20,5,5,1,17,0,0,0,3,100,0,0,0,70630,46555,15300,50830,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,8400,8400,8400, 36 months,15.04,291.36,C,C4,Install/Management,4 years,OWN,60000,Not Verified,Mar-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,296xx,SC,3.72,0,Nov-2011,1,,,6,0,6078,48.2,7,w,0.00,0.00,8951.7576326748,8951.76,8400.00,551.76,0.0,0.0,0.0,Aug-2018,7793.34,,Nov-2018,0,,1,Individual,,,,0,0,6078,2,0,0,1,23,0,,2,4,3182,48,12600,0,0,1,5,1013,5955,39.8,0,0,23,76,0,0,0,0,,0,,0,3,4,5,5,1,6,6,4,6,0,0,0,2,100,20,0,0,12600,6078,9900,0,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,31650,31650,31650, 36 months,15.04,1097.78,C,C4,Purchasing Agent,5 years,MORTGAGE,55000,Verified,Mar-2018,Fully Paid,n,,,debt_consolidation,Debt consolidation,802xx,CO,15.86,0,Sep-2008,0,,,10,0,13953,82.1,23,w,0.00,0.00,33157.105372066,33157.11,31650.00,1507.11,0.0,0.0,0.0,Jul-2018,29890.22,,Feb-2019,0,,1,Individual,,,,0,0,254705,0,2,1,2,7,94419,88,0,0,3932,84,17000,1,1,1,2,25471,341,97.4,0,0,113,111,46,7,1,63,,7,,0,5,6,5,5,15,7,7,6,10,0,0,0,1,100,100,0,0,267545,108372,13000,95604,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 60 months,25.81,357.94,E,E4,MANAGER ,6 years,MORTGAGE,49000,Source Verified,Mar-2018,Current,n,,,small_business,Business,785xx,TX,21.92,1,Apr-2008,2,13,,22,0,20812,64.4,53,w,10775.69,10775.69,3920.13,3920.13,1224.31,2695.82,0.0,0.0,0.0,Feb-2019,357.94,Mar-2019,Feb-2019,0,,1,Individual,,,,0,1649,100844,1,2,1,2,5,765,22,1,6,4499,60,32300,3,2,5,8,4584,1187,85.5,0,0,119,77,8,5,1,8,,2,,0,5,18,5,6,26,19,26,18,22,0,0,0,2,98.1,80,0,0,134112,21577,8200,3497,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,3500,3500,3500, 36 months,10.9,114.42,B,B4,Driver,2 years,RENT,38000,Source Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,331xx,FL,34.33,0,Oct-2006,0,42,,8,0,1695,17.1,13,w,2548.66,2548.66,1256.5,1256.50,951.34,305.16,0.0,0.0,0.0,Feb-2019,114.42,Mar-2019,Feb-2019,0,42,1,Individual,,,,0,0,22732,0,2,1,2,11,21037,83,1,1,1568,65,9900,2,0,3,3,2842,7318,17.8,0,0,136,55,7,7,0,35,,7,,2,3,4,5,5,7,6,6,4,8,0,0,0,2,84.6,0,0,0,35144,22732,8900,25244,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,5000,5000,5000, 36 months,10.9,163.46,B,B4,Regional Sales Manager,9 years,MORTGAGE,430000,Source Verified,Mar-2018,Current,n,,,debt_consolidation,Debt consolidation,760xx,TX,1.17,0,Dec-1995,0,78,84,6,2,2826,8.9,13,f,3640.91,3640.91,1795.03,1795.03,1359.09,435.94,0.0,0.0,0.0,Feb-2019,163.46,Mar-2019,Feb-2019,0,78,1,Individual,,,,0,1002,32416,0,2,0,1,13,29590,133,1,3,2119,60,31800,1,0,0,4,6483,28674,9,0,0,267,252,11,11,0,27,78,13,78,1,2,2,2,8,2,3,10,2,6,0,0,0,1,91.7,0,1,1,54059,32416,31500,22259,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,12000,12000,12000, 36 months,9.92,386.76,B,B2,Director of Operations,4 years,RENT,65000,Source Verified,Mar-2018,Fully Paid,n,,,credit_card,Credit card refinancing,319xx,GA,26.09,5,Dec-1999,0,7,,25,0,18978,37.7,42,w,0.00,0.00,12429.5919312602,12429.59,12000.00,429.59,0.0,0.0,0.0,Jul-2018,11275.92,,Feb-2019,0,,1,Individual,,,,0,2462,23336,0,4,0,0,34,4358,12,0,2,3952,27,50300,0,0,0,2,1015,13328,57.3,0,0,185,219,18,18,0,18,7,21,7,0,11,13,15,18,13,21,29,13,25,0,0,0,0,76.2,53.8,0,0,85563,23336,31200,35263,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
,,24000,24000,24000, 36 months,6.71,737.88,A,A3,Representative,3 years,OWN,44500,Source Verified,Mar-2018,Current,n,,,credit_card,Credit card refinancing,114xx,NY,23.35,0,Dec-2001,0,,,13,0,24048,39.9,21,w,17170.71,17170.71,8135.24,8135.24,6829.29,1305.95,0.0,0.0,0.0,Feb-2019,737.88,Mar-2019,Feb-2019,0,,1,Individual,,,,0,0,32608,1,1,0,0,151,8560,34,2,3,21336,38,60200,0,0,0,3,2964,20964,50.4,0,0,151,195,4,4,0,8,,,,0,1,3,5,9,1,12,20,3,13,0,0,0,2,100,20,0,0,85426,32608,42300,25226,,,,,,,,,,,,N,,,,,,,,,,,,,,,Cash,N,,,,,,
